1,HT22-01,Ich bin eine gute Therapeutin!....,1
2,HT22-02,Fairstreiten,1
3,HT22-03,Finanzamt und Kontrolle,1
4,HT22-04,Verwaltungskram,1
5,HT22-05,Fachkräftekompass,1
6,HT22-06,Yoga als präventive Selbstzahlerleistung,1
7,HT22-07,Arbeitszeugnisse schreiben und bewerten,1
8,HT22-08,Datenverlust und Verschlüsselungsviren,1
9,HT22-09,Die telemedizinische Leistung –Theorie und Praxis,2
10,HT22-10,Lohnnebenleistungen,2
11,HT22-11,Der Weg zur digitalen Anbindung,2
12,HT22-12,Arbeiten ohne krank zu werden,2
13,HT22-13,Praxisverkauf,2
14,HT22-14,Arbeitsrecht für Praxeninhaber:innen,2
15,HT22-15,Lernen Sie Ihre Mitarbeiter:innenneu kennen,2
16,HT22-16,Fachkräftemangel managen,2
17,HT22-17,ETpro,2
18,HT22-18,Telematikinfrastruktur aktuell,3
19,HT22-19,Immer noch diese Löhne...,3
20,HT22-20,Evidenzbasiertes Arbeiten muss nicht kompliziert sein!,3
21,HT22-21,Gefährdungsbeurteilungen in therapeutischen Praxen,3
22,HT22-22,Umgang mit dem Statusfeststellungsverfahren,3
23,HT22-23,Dienstfahrzeuge ....,3
24,HT22-24,Prävention und Gesundheitsförderung für die Praxis,3
25,IFAU,Die 4 Pfeiler des Arbeitsschutzes –3.Die Gefährdungsbeurteilung,4
26,HT22-25,Fachlicher Einstieg in die Digitalisierung,5
27,HT22-26,Digitale Praxisorganisation,5
28,HT22-27,RehaCom,5
29,HT22-28,Patientendatenin Gefahr?!,5
30,HT22-29,Neurofeedback,5
31,HT22-30,Intensivierung der Handtherapie durch die AnyHand,5
32,HT22-31,Fasziale Techniken:Behandlung von Narben im Handbereich,5
